value,valueLabel,ct,sampleitem,sampleitemLabel
http://www.wikidata.org/entity/Q49085,African Americans,3608,http://www.wikidata.org/entity/Q50612,Susan Rice
http://www.wikidata.org/entity/Q7325,Jewish people,451,http://www.wikidata.org/entity/Q84233,Ludwig von Mises
http://www.wikidata.org/entity/Q846570,Americans,428,http://www.wikidata.org/entity/Q22277018,G. P. Mellick Belshaw
http://www.wikidata.org/entity/Q79797,Armenians,338,http://www.wikidata.org/entity/Q4362177,Mkrtichʻ Peshiktʻashlyan
http://www.wikidata.org/entity/Q842438,British people,335,http://www.wikidata.org/entity/Q216406,Edward Burne-Jones
http://www.wikidata.org/entity/Q190168,Yoruba people,289,http://www.wikidata.org/entity/Q16005761,Victor Banjo
http://www.wikidata.org/entity/Q42406,English people,232,http://www.wikidata.org/entity/Q16206490,John Hodgkins
http://www.wikidata.org/entity/Q42740,Han Chinese people,192,http://www.wikidata.org/entity/Q11068035,Chang Chih-wan
http://www.wikidata.org/entity/Q6122670,Māori,177,http://www.wikidata.org/entity/Q205288,Zinzan Brooke
http://www.wikidata.org/entity/Q49078,White Americans,173,http://www.wikidata.org/entity/Q5603,Andy Warhol
http://www.wikidata.org/entity/Q170826,Irish people,127,http://www.wikidata.org/entity/Q333481,James Ussher
http://www.wikidata.org/entity/Q244157,Igbo people,118,http://www.wikidata.org/entity/Q959577,Emeka Anyaoku
http://www.wikidata.org/entity/Q165192,Swedes,109,http://www.wikidata.org/entity/Q121753,Eva Brunne
http://www.wikidata.org/entity/Q33938,Hausa people,105,http://www.wikidata.org/entity/Q8047224,Yakubu Bako
http://www.wikidata.org/entity/Q50001,Italians,97,http://www.wikidata.org/entity/Q192488,Paolo Uccello
http://www.wikidata.org/entity/Q170217,Czechs,95,http://www.wikidata.org/entity/Q48173,Bedřich Smetana
http://www.wikidata.org/entity/Q678551,American Jews,93,http://www.wikidata.org/entity/Q104000,Lauren Bacall
http://www.wikidata.org/entity/Q188779,Norwegians,89,http://www.wikidata.org/entity/Q264732,John Willem Gran
http://www.wikidata.org/entity/Q181634,Scottish people,81,http://www.wikidata.org/entity/Q5294779,Donald Mackintosh
http://www.wikidata.org/entity/Q42884,Germans,70,http://www.wikidata.org/entity/Q15514261,Henry Peter Bosse
http://www.wikidata.org/entity/Q539051,Greeks,67,http://www.wikidata.org/entity/Q301,El Greco
http://www.wikidata.org/entity/Q235155,white people,63,http://www.wikidata.org/entity/Q567,Angela Merkel
http://www.wikidata.org/entity/Q44806,Ukrainians,57,http://www.wikidata.org/entity/Q24194,Andrey Sheptytsky
http://www.wikidata.org/entity/Q108266,Navajo,51,http://www.wikidata.org/entity/Q5665527,Harrison Begay
http://www.wikidata.org/entity/Q49542,Russians,51,http://www.wikidata.org/entity/Q4062992,Alexander Altunin
http://www.wikidata.org/entity/Q105405,Cherokee,50,http://www.wikidata.org/entity/Q292814,Nancy Ward
http://www.wikidata.org/entity/Q18690772,Northern Sámi people,47,http://www.wikidata.org/entity/Q6215356,Johan Sara
http://www.wikidata.org/entity/Q4172847,Filipino people,47,http://www.wikidata.org/entity/Q365190,Adolfo Tito Yllana
http://www.wikidata.org/entity/Q726673,Swedish-speaking population of Finland,46,http://www.wikidata.org/entity/Q5797587,Felix Heikel
http://www.wikidata.org/entity/Q160894,Spaniards,44,http://www.wikidata.org/entity/Q5432,Francisco de Goya
http://www.wikidata.org/entity/Q1026,Poles,44,http://www.wikidata.org/entity/Q121180,Władysław Reymont
http://www.wikidata.org/entity/Q161652,Japanese people,42,http://www.wikidata.org/entity/Q105704205,Hotate Shinkawa
http://www.wikidata.org/entity/Q1196645,Canadians,41,http://www.wikidata.org/entity/Q6252077,John Patrick Comiskey
http://www.wikidata.org/entity/Q581921,Mexican American,41,http://www.wikidata.org/entity/Q116142693,Oscar De Los Santos
http://www.wikidata.org/entity/Q1156766,Japanese American,39,http://www.wikidata.org/entity/Q93024,John Maeda
http://www.wikidata.org/entity/Q255872,Ojibwe,39,http://www.wikidata.org/entity/Q16210354,Cara Gee
http://www.wikidata.org/entity/Q817393,Black people,38,http://www.wikidata.org/entity/Q2442793,Flora Gomes
http://www.wikidata.org/entity/Q35323,Arabs,38,http://www.wikidata.org/entity/Q34211,Yasser Arafat
http://www.wikidata.org/entity/Q1752440,Israeli Jews,36,http://www.wikidata.org/entity/Q185654,Gal Gadot
http://www.wikidata.org/entity/Q974693,Italian Americans,36,http://www.wikidata.org/entity/Q3772,Quentin Tarantino
http://www.wikidata.org/entity/Q189975,Inuit,35,http://www.wikidata.org/entity/Q122347,Kenojuak Ashevak
http://www.wikidata.org/entity/Q145665,Manchu,32,http://www.wikidata.org/entity/Q8297870,Jin Daoming
http://www.wikidata.org/entity/Q170284,Finns,32,http://www.wikidata.org/entity/Q57943893,Käärijä
http://www.wikidata.org/entity/Q17072635,Hiligaynon people,31,http://www.wikidata.org/entity/Q25341910,Judy Taguiwalo
http://www.wikidata.org/entity/Q503963,Bamar,31,http://www.wikidata.org/entity/Q30595891,Lae Lae Maw
http://www.wikidata.org/entity/Q388315,African Brazilian,30,http://www.wikidata.org/entity/Q43193797,Áurea Carolina
http://www.wikidata.org/entity/Q862086,Indians,30,http://www.wikidata.org/entity/Q19898391,Prince G. Singh
http://www.wikidata.org/entity/Q893594,Puerto Ricans,30,http://www.wikidata.org/entity/Q155407,Jean-Michel Basquiat
http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,30,http://www.wikidata.org/entity/Q1127836,Constantin Dobrogeanu-Gherea
http://www.wikidata.org/entity/Q167420,Croats,29,http://www.wikidata.org/entity/Q204279,Goran Ivanišević
http://www.wikidata.org/entity/Q12223,Kurds,29,http://www.wikidata.org/entity/Q287145,An-Nasir Dawud
http://www.wikidata.org/entity/Q127885,Serbs,28,http://www.wikidata.org/entity/Q299695,Beba Lončar
http://www.wikidata.org/entity/Q262457,Métis,28,http://www.wikidata.org/entity/Q313691,Louis Riel
http://www.wikidata.org/entity/Q485150,Romanians,28,http://www.wikidata.org/entity/Q78982,Emil Paur
http://www.wikidata.org/entity/Q1075293,Irish Americans,26,http://www.wikidata.org/entity/Q9696,John F. Kennedy
http://www.wikidata.org/entity/Q121842,French,26,http://www.wikidata.org/entity/Q365304,Bernard Buffet
http://www.wikidata.org/entity/Q164714,Danes,26,http://www.wikidata.org/entity/Q44610,Tine Lindhardt
http://www.wikidata.org/entity/Q102251,Sephardi Jews,24,http://www.wikidata.org/entity/Q3050694,Elena Benarroch
http://www.wikidata.org/entity/Q17074661,Karay-a people,24,http://www.wikidata.org/entity/Q24852423,Manny Piñol
http://www.wikidata.org/entity/Q200569,Dutch,24,http://www.wikidata.org/entity/Q2307798,Alphonse Olterdissen
http://www.wikidata.org/entity/Q32360797,Russian Jews,24,http://www.wikidata.org/entity/Q1698,Serge Gainsbourg
http://www.wikidata.org/entity/Q117191,Cree,22,http://www.wikidata.org/entity/Q98590661,Eleanor Brass
http://www.wikidata.org/entity/Q133032,Hungarians,22,http://www.wikidata.org/entity/Q150312,Amrita Sher-Gil
http://www.wikidata.org/entity/Q1318423,Australians,21,http://www.wikidata.org/entity/Q373998,Mark Coleridge
http://www.wikidata.org/entity/Q2526737,Kapampangan people,21,http://www.wikidata.org/entity/Q2337910,Artemio Panganiban
http://www.wikidata.org/entity/Q51705,Muscogee,21,http://www.wikidata.org/entity/Q45534,Woody Crumbo
http://www.wikidata.org/entity/Q116971,Mohawk people,20,http://www.wikidata.org/entity/Q292146,Beth Brant
http://www.wikidata.org/entity/Q107434,Sioux,19,http://www.wikidata.org/entity/Q4877178,Beatrice Medicine
http://www.wikidata.org/entity/Q1286876,Maltese,19,http://www.wikidata.org/entity/Q1066032,Charles J. Scicluna
http://www.wikidata.org/entity/Q133255,Bulgarians,19,http://www.wikidata.org/entity/Q371265,Joseph I of Bulgaria
http://www.wikidata.org/entity/Q173302,Estonians,18,http://www.wikidata.org/entity/Q237056,Lydia Koidula
http://www.wikidata.org/entity/Q484464,Koreans,18,http://www.wikidata.org/entity/Q41117,Kim Il-sung
http://www.wikidata.org/entity/Q45315,Berbers,18,http://www.wikidata.org/entity/Q266239,Corippus
http://www.wikidata.org/entity/Q117100,Kiowa people,17,http://www.wikidata.org/entity/Q486933,Lone Wolf
http://www.wikidata.org/entity/Q117255,Hopi people,17,http://www.wikidata.org/entity/Q21979448,Daisy Hooee Nampeyo
http://www.wikidata.org/entity/Q48199,Sámi people,17,http://www.wikidata.org/entity/Q1933,Anja Pärson
http://www.wikidata.org/entity/Q49297,Native Americans in the United States,17,http://www.wikidata.org/entity/Q453666,Chief Joseph
http://www.wikidata.org/entity/Q117458,Crimean Tatars,16,http://www.wikidata.org/entity/Q470325,Amet-khan Sultan
http://www.wikidata.org/entity/Q171336,Slovaks,16,http://www.wikidata.org/entity/Q235704,Kyla Cole
http://www.wikidata.org/entity/Q191356,Icelanders,16,http://www.wikidata.org/entity/Q1645115,Karl Sigurbjörnsson
http://www.wikidata.org/entity/Q1146100,Chinese Americans,15,http://www.wikidata.org/entity/Q21467055,Tseng Yu-ho
http://www.wikidata.org/entity/Q2325516,Armenian American,15,http://www.wikidata.org/entity/Q26318,Rob Kardashian
http://www.wikidata.org/entity/Q8060,Romani,15,http://www.wikidata.org/entity/Q292036,Anca Parghel
http://www.wikidata.org/entity/Q170355,Indigenous Australians,14,http://www.wikidata.org/entity/Q107489055,Elsie Heiss
http://www.wikidata.org/entity/Q201190,Palestinians,14,http://www.wikidata.org/entity/Q4055170,Abu Salma
http://www.wikidata.org/entity/Q2527423,Ilocano people,14,http://www.wikidata.org/entity/Q2399446,Chavit Singson
http://www.wikidata.org/entity/Q2643509,Indian Americans,14,http://www.wikidata.org/entity/Q3474456,Savan Kotecha
http://www.wikidata.org/entity/Q332976,Miskitos,14,http://www.wikidata.org/entity/Q8011936,William Henry Clarence
http://www.wikidata.org/entity/Q482942,Azerbaijanis,14,http://www.wikidata.org/entity/Q971232,Farhad Khalilov
http://www.wikidata.org/entity/Q704608,Turks in Germany,14,http://www.wikidata.org/entity/Q19936977,Serkan Çayoğlu
http://www.wikidata.org/entity/Q84072,Turks,14,http://www.wikidata.org/entity/Q4982083,Meral Tasbas
http://www.wikidata.org/entity/Q1150312,Greek American,13,http://www.wikidata.org/entity/Q229465,Kalomira
http://www.wikidata.org/entity/Q1283606,Native Hawaiians,13,http://www.wikidata.org/entity/Q5115513,Chuck Hazama
http://www.wikidata.org/entity/Q1365830,Romani people in Spain,13,http://www.wikidata.org/entity/Q127481,Tony Gatlif
http://www.wikidata.org/entity/Q179248,Albanians,13,http://www.wikidata.org/entity/Q16348636,Androniqi Zengo Antoniu
http://www.wikidata.org/entity/Q188353,Welsh people,13,http://www.wikidata.org/entity/Q230594,Mary Hopkin
http://www.wikidata.org/entity/Q1984414,Ngāti Porou,13,http://www.wikidata.org/entity/Q618651,Āpirana Ngata
http://www.wikidata.org/entity/Q216151,Vietnamese people,13,http://www.wikidata.org/entity/Q714138,Paul Joseph Phạm Đình Tụng
http://www.wikidata.org/entity/Q237534,Austrians,13,http://www.wikidata.org/entity/Q672923,Maximilian Joseph von Tarnóczy
http://www.wikidata.org/entity/Q276879,Korean American,13,http://www.wikidata.org/entity/Q105538243,Audrey Nuna
http://www.wikidata.org/entity/Q324516,Choctaw,13,http://www.wikidata.org/entity/Q20551592,Besmilr Brigham
http://www.wikidata.org/entity/Q36747,indigenous peoples of the Americas,13,http://www.wikidata.org/entity/Q11953798,Two Guns White Calf
http://www.wikidata.org/entity/Q1135531,Samoans,12,http://www.wikidata.org/entity/Q4795481,Aroha Awarau
http://www.wikidata.org/entity/Q178630,Portuguese,12,http://www.wikidata.org/entity/Q45043,José Policarpo
http://www.wikidata.org/entity/Q2219658,San Ildefonso Pueblo,12,http://www.wikidata.org/entity/Q55218461,Popovi Da
http://www.wikidata.org/entity/Q242485,Flemings,12,http://www.wikidata.org/entity/Q565834,Anne Teresa De Keersmaeker
http://www.wikidata.org/entity/Q392316,First Nations,12,http://www.wikidata.org/entity/Q957119,Ethel Blondin-Andrew
http://www.wikidata.org/entity/Q483569,Belarusians,12,http://www.wikidata.org/entity/Q131259,Alexander Rybak
http://www.wikidata.org/entity/Q6935055,Multiracial American,12,http://www.wikidata.org/entity/Q188955,Matthew McConaughey
http://www.wikidata.org/entity/Q10312754,Japanese Canadians,11,http://www.wikidata.org/entity/Q6837231,Michelle Sagara
http://www.wikidata.org/entity/Q1113048,Iranian American,11,http://www.wikidata.org/entity/Q7366518,Roosh V
http://www.wikidata.org/entity/Q141817,German Americans,11,http://www.wikidata.org/entity/Q77144,Leo Strauss
http://www.wikidata.org/entity/Q1464994,Latino,11,http://www.wikidata.org/entity/Q2086261,Phil Jimenez
http://www.wikidata.org/entity/Q157139,Baltic Germans,11,http://www.wikidata.org/entity/Q57190,Karl Ernst von Baer
http://www.wikidata.org/entity/Q1672477,Iranian people,11,http://www.wikidata.org/entity/Q12054190,Shirana Shahbazi
http://www.wikidata.org/entity/Q178484,Mapuches,11,http://www.wikidata.org/entity/Q2834759,Elicura Chihuailaf
http://www.wikidata.org/entity/Q501837,Mizrahi Jews,11,http://www.wikidata.org/entity/Q96745600,Ilay Madmon
http://www.wikidata.org/entity/Q57026211,Chinese,11,http://www.wikidata.org/entity/Q561952,Han Gan
http://www.wikidata.org/entity/Q727928,Asian Americans,11,http://www.wikidata.org/entity/Q92852935,Abigail Hing Wen
http://www.wikidata.org/entity/Q871904,New Zealanders,11,http://www.wikidata.org/entity/Q18572371,Stephen Lowe
