"number","title","pageid","namespace","length","touched"
"1","Miles_Davis","716354","Category","151","20190722205457"
"2","Garifuna_music","726358","Category","150","20210411172648"
"3","Samba","726742","Category","255","20201101050503"
"4","Bossa_nova","726743","Category","212","20150915065014"
"5","Newark_Eagles_players","1077041","Category","143","20201224125812"
"6","Kansas_City_Monarchs_players","1090473","Category","140","20200417120724"
"7","Michael_Jackson","1213810","Category","944","20220331133250"
"8","Universal_Negro_Improvement_Association_and_African_Communities_League_members","1375460","Category","316","20221217114646"
"9","Canadian_rappers","1398380","Category","370","20200311081632"
"10","Griqualand_West_cricketers","1401826","Category","302","20211009035914"
"11","Martin_Luther_King_Jr.","1452526","Category","542","20220829132118"
"12","Janet_Jackson","1685915","Category","476","20211202180215"
"13","Nelly_Furtado_albums","1876006","Category","229","20191113215526"
"14","Sweatshop_Union_albums","1929962","Category","92","20190828032232"
"15","Khadr_family","2109505","Category","256","20210803011706"
"16","Canadian_hip_hop_groups","2396347","Category","198","20190828032308"
"17","Films_directed_by_Spike_Lee","2755790","Category","406","20180726211216"
"18","Films_directed_by_John_Singleton","2756879","Category","224","20180702133652"
"19","Films_directed_by_F._Gary_Gray","2975133","Category","218","20220215174420"
"20","Films_directed_by_Melvin_Van_Peebles","3195289","Category","230","20180702133649"
"21","British_hip_hop_musicians","3255469","Category","132","20130328061228"
"22","Tom_Green_albums","3597814","Category","201","20190828032432"
"23","New_York_Renaissance_players","3631941","Category","214","20220913070218"
"24","Films_directed_by_Michael_Schultz","3650793","Category","183","20180702133651"
"25","Yoruba_goddesses","4083478","Category","92","20220805180343"
"26","Yoruba_deities","4083485","Category","131","20131105094154"
"27","Yoruba_gods","4083489","Category","82","20150315222533"
"28","Homestead_Grays_players","4155346","Category","130","20200424004804"
"29","Books_by_George_Elliott_Clarke","4200240","Category","210","20201001211620"
"30","British_hip_hop","4319220","Category","413","20210225171737"
"31","Canadian_hip_hop","4319263","Category","199","20200710031819"
"32","Canadian_hip_hop_musicians","4319269","Category","134","20130328082817"
"33","African_Americans_in_the_American_Revolution","4467836","Category","567","20220410222509"
"34","Egyptian_emigrants","4483886","Category","170","20220322144359"
"35","Robeson-Bustill_family","4782705","Category","186","20230304033135"
"36","Brazilian_Carnival","4904469","Category","235","20190722112056"
"37","Hafsid_dynasty","5271550","Category","308","20221020000609"
"38","American_slaves","5662380","Category","443","20200418114233"
"39","Grime_music_artists","5717013","Category","116","20220204161024"
"40","People_of_Angolan_descent","5740469","Category","392","20141021214342"
"41","Films_directed_by_Tyler_Perry","5833763","Category","235","20180726211149"
"42","K'naan_albums","5913681","Category","171","20190828032755"
"43","People_of_South_African_descent","5983238","Category","326","20141021215210"
"44","People_of_Kenyan_descent","5983396","Category","197","20230216042610"
"45","People_of_Nigerian_descent","5990355","Category","426","20180708101346"
"46","Main_Source_albums","6010672","Category","298","20190828032804"
"47","Baltimore_Elite_Giants_players","6110548","Category","187","20230207233854"
"48","Chicago_American_Giants_players","6110672","Category","194","20200822171439"
"49","Pittsburgh_Crawfords_players","6110678","Category","84","20080917083111"
"50","Lincoln_Giants_players","6143398","Category","184","20170812204628"
"51","Indianapolis_ABCs_players","6143408","Category","81","20210111034635"
"52","Detroit_Stars_players","6145201","Category","92","20200822171634"
"53","Baltimore_Black_Sox_players","6145209","Category","149","20200822171243"
"54","Indianapolis_Clowns_players","6145326","Category","222","20220130005852"
"55","Harrisburg_Giants_players","6145337","Category","80","20080917083038"
