number,title,pageid,namespace,length,touched,
1,Popes,691014,Category,1166,2.02303E+13,
2,Middle-earth_Rohirrim,691237,Category,95,2.01304E+13,
3,Middle-earth_Men,691239,Category,692,2.02302E+13,
4,Discworld,691290,Category,555,2.02208E+13,
5,Multi-dimensional_geometry,691467,Category,145,2.02011E+13,
6,Swedish_monarchs,691726,Category,1277,2.0161E+13,
7,Norwegian_monarchs,691749,Category,406,2.02302E+13,
8,Paul_McCartney,691823,Category,348,2.02303E+13,
9,John_Lennon,691827,Category,371,2.02303E+13,
10,Mercian_monarchs,691922,Category,156,2.01508E+13,
